2023-03-22 09:15:48.553 [http-nio-8081-exec-6] INFO  c.project.service.ProjektServiceImpl.getStudenci(84) - REQUEST -> GET http://localhost:8080/api/studenci?page=0&size=20&sort=
2023-03-22 09:15:48.838 [http-nio-8081-exec-6] INFO  c.project.service.ProjektServiceImpl.getProjekty(68) - REQUEST -> GET http://localhost:8080/api/projekty?page=0&size=20&sort=
2023-03-22 09:18:18.248 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 10092 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-22 09:18:18.251 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
2023-03-22 09:18:21.497 [restartedMain] INFO  com.project.Main.logStarted(57) - Started Main in 4.239 seconds (process running for 5.602)
2023-03-25 12:11:16.417 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 18500 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-25 12:11:16.418 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
2023-03-25 12:11:18.244 [restartedMain] INFO  com.project.Main.logStarted(57) - Started Main in 2.367 seconds (process running for 3.091)
2023-03-25 12:13:17.794 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 5108 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-25 12:13:17.795 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
2023-03-25 12:13:19.562 [restartedMain] INFO  com.project.Main.logStarted(57) - Started Main in 2.309 seconds (process running for 3.059)
2023-03-25 12:14:18.152 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 16740 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-25 12:14:18.153 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
2023-03-25 12:14:19.923 [restartedMain] INFO  com.project.Main.logStarted(57) - Started Main in 2.309 seconds (process running for 3.029)
2023-03-25 12:14:43.845 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 10808 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-25 12:14:43.846 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
2023-03-25 12:14:45.775 [restartedMain] INFO  com.project.Main.logStarted(57) - Started Main in 2.504 seconds (process running for 3.338)
